"filename", "language", "Dart", "comment", "blank", "total"
"/Users/morikazu/Downloads/StudyHub_student/lib/application/di/student/get_my_profile_query_service.dart", "Dart", 21, 0, 4, 25
"/Users/morikazu/Downloads/StudyHub_student/lib/application/di/student/get_my_profile_query_service.g.dart", "Dart", 16, 7, 6, 29
"/Users/morikazu/Downloads/StudyHub_student/lib/application/di/student/student_provider.dart", "Dart", 17, 0, 4, 21
"/Users/morikazu/Downloads/StudyHub_student/lib/application/di/student/student_provider.g.dart", "Dart", 15, 7, 6, 28
"/Users/morikazu/Downloads/StudyHub_student/lib/application/di/student/student_repository_provider.dart", "Dart", 17, 0, 4, 21
"/Users/morikazu/Downloads/StudyHub_student/lib/application/di/student/student_repository_provider.g.dart", "Dart", 15, 7, 6, 28
"/Users/morikazu/Downloads/StudyHub_student/lib/application/di/student_auth/student_auth_provider.dart", "Dart", 42, 0, 6, 48
"/Users/morikazu/Downloads/StudyHub_student/lib/application/di/student_auth/student_auth_provider.g.dart", "Dart", 42, 9, 10, 61
"/Users/morikazu/Downloads/StudyHub_student/lib/application/di/teacher/get_popular_teacher_query_service_provider.dart", "Dart", 22, 0, 4, 26
"/Users/morikazu/Downloads/StudyHub_student/lib/application/di/teacher/get_popular_teacher_query_service_provider.g.dart", "Dart", 16, 7, 6, 29
"/Users/morikazu/Downloads/StudyHub_student/lib/application/di/teacher/get_teacher_profile_query_service.dart", "Dart", 30, 0, 4, 34
"/Users/morikazu/Downloads/StudyHub_student/lib/application/di/teacher/get_teacher_profile_query_service.g.dart", "Dart", 16, 7, 6, 29
"/Users/morikazu/Downloads/StudyHub_student/lib/application/di/teacher/search_for_teachers_query_service.dart", "Dart", 21, 0, 4, 25
"/Users/morikazu/Downloads/StudyHub_student/lib/application/di/teacher/search_for_teachers_query_service.g.dart", "Dart", 16, 7, 6, 29
"/Users/morikazu/Downloads/StudyHub_student/lib/application/di/teacher/teacher_provider.dart", "Dart", 17, 0, 4, 21
"/Users/morikazu/Downloads/StudyHub_student/lib/application/di/teacher/teacher_provider.g.dart", "Dart", 15, 7, 6, 28
"/Users/morikazu/Downloads/StudyHub_student/lib/application/di/teacher_evaluation/teacher_evaluation_repository_provider.dart", "Dart", 18, 0, 4, 22
"/Users/morikazu/Downloads/StudyHub_student/lib/application/di/teacher_evaluation/teacher_evaluation_repository_provider.g.dart", "Dart", 16, 7, 6, 29
"/Users/morikazu/Downloads/StudyHub_student/lib/application/favorite_teachers/application_service/favorite_teachers_add_use_case.dart", "Dart", 21, 0, 8, 29
"/Users/morikazu/Downloads/StudyHub_student/lib/application/favorite_teachers/application_service/favorite_teachers_delete_use_case.dart", "Dart", 24, 0, 7, 31
"/Users/morikazu/Downloads/StudyHub_student/lib/application/favorite_teachers/application_service/get_favorite_teacher_dto.dart", "Dart", 20, 0, 4, 24
"/Users/morikazu/Downloads/StudyHub_student/lib/application/favorite_teachers/application_service/get_favorite_teacher_use_case.dart", "Dart", 17, 0, 5, 22
"/Users/morikazu/Downloads/StudyHub_student/lib/application/favorite_teachers/application_service/i_get_favorite_teacher_query_service.dart", "Dart", 5, 0, 2, 7
"/Users/morikazu/Downloads/StudyHub_student/lib/application/favorite_teachers/exception/favorite_teachers_use_case_exception.dart", "Dart", 8, 0, 2, 10
"/Users/morikazu/Downloads/StudyHub_student/lib/application/favorite_teachers/exception/favorite_teachers_use_case_exception_detail.dart", "Dart", 8, 0, 5, 13
"/Users/morikazu/Downloads/StudyHub_student/lib/application/liked_answers/application_service/get_liked_answers_use_case.dart", "Dart", 11, 0, 4, 15
"/Users/morikazu/Downloads/StudyHub_student/lib/application/liked_answers/application_service/i_get_liked_answers_query_service.dart", "Dart", 5, 0, 2, 7
"/Users/morikazu/Downloads/StudyHub_student/lib/application/liked_answers/application_service/liked_answers_dto.dart", "Dart", 6, 0, 4, 10
"/Users/morikazu/Downloads/StudyHub_student/lib/application/notification/application_service/get_my_notification_dto.dart", "Dart", 17, 0, 3, 20
"/Users/morikazu/Downloads/StudyHub_student/lib/application/notification/application_service/get_my_notifications_use_case.dart", "Dart", 17, 0, 4, 21
"/Users/morikazu/Downloads/StudyHub_student/lib/application/notification/application_service/i_get_my_notifications_query_service.dart", "Dart", 5, 0, 2, 7
"/Users/morikazu/Downloads/StudyHub_student/lib/application/question/application_service/get_my_questions_use_case.dart", "Dart", 17, 0, 3, 20
"/Users/morikazu/Downloads/StudyHub_student/lib/application/question/application_service/get_question_detail_use_case.dart", "Dart", 36, 0, 4, 40
"/Users/morikazu/Downloads/StudyHub_student/lib/application/question/application_service/get_recommended_questions_use_case.dart", "Dart", 21, 0, 3, 24
"/Users/morikazu/Downloads/StudyHub_student/lib/application/question/application_service/get_trending_question_use_case.dart", "Dart", 11, 0, 5, 16
"/Users/morikazu/Downloads/StudyHub_student/lib/application/question/application_service/i_get_my_questions_query_service.dart", "Dart", 5, 0, 2, 7
"/Users/morikazu/Downloads/StudyHub_student/lib/application/question/application_service/i_get_question_detail_query_service.dart", "Dart", 5, 0, 2, 7
"/Users/morikazu/Downloads/StudyHub_student/lib/application/question/application_service/i_get_recommended_questions_query_service.dart", "Dart", 9, 0, 2, 11
"/Users/morikazu/Downloads/StudyHub_student/lib/application/question/application_service/i_get_trending_question_query_service.dart", "Dart", 5, 0, 2, 7
"/Users/morikazu/Downloads/StudyHub_student/lib/application/question/application_service/i_question_create_query_service.dart", "Dart", 5, 0, 2, 7
"/Users/morikazu/Downloads/StudyHub_student/lib/application/question/application_service/i_search_for_questions_query_service.dart", "Dart", 8, 0, 2, 10
"/Users/morikazu/Downloads/StudyHub_student/lib/application/question/application_service/question_create_use_case.dart", "Dart", 136, 0, 17, 153
"/Users/morikazu/Downloads/StudyHub_student/lib/application/question/application_service/question_delete_use_case.dart", "Dart", 37, 0, 9, 46
"/Users/morikazu/Downloads/StudyHub_student/lib/application/question/application_service/question_detail_dto.dart", "Dart", 24, 0, 4, 28
"/Users/morikazu/Downloads/StudyHub_student/lib/application/question/application_service/question_edit_command.dart", "Dart", 24, 0, 4, 28
"/Users/morikazu/Downloads/StudyHub_student/lib/application/question/application_service/question_edit_use_case.dart", "Dart", 76, 3, 17, 96
"/Users/morikazu/Downloads/StudyHub_student/lib/application/question/application_service/search_for_question_use_case.dart", "Dart", 15, 0, 4, 19
"/Users/morikazu/Downloads/StudyHub_student/lib/application/question/application_service/utils/photo_processing.dart", "Dart", 62, 0, 16, 78
"/Users/morikazu/Downloads/StudyHub_student/lib/application/question/exception/question_use_case_exception.dart", "Dart", 8, 0, 2, 10
"/Users/morikazu/Downloads/StudyHub_student/lib/application/question/exception/question_use_case_exception_detail.dart", "Dart", 12, 0, 5, 17
"/Users/morikazu/Downloads/StudyHub_student/lib/application/report/application_service/question_report_submit_command.dart", "Dart", 17, 0, 4, 21
"/Users/morikazu/Downloads/StudyHub_student/lib/application/report/application_service/question_report_submit_use_case.dart", "Dart", 27, 0, 6, 33
"/Users/morikazu/Downloads/StudyHub_student/lib/application/report/application_service/teacher_report_submit_command.dart", "Dart", 17, 0, 4, 21
"/Users/morikazu/Downloads/StudyHub_student/lib/application/report/application_service/teacher_report_submit_use_case.dart", "Dart", 27, 0, 6, 33
"/Users/morikazu/Downloads/StudyHub_student/lib/application/shared/application_service/question_card_dto.dart", "Dart", 32, 0, 4, 36
"/Users/morikazu/Downloads/StudyHub_student/lib/application/shared/exception/use_case_exception.dart", "Dart", 13, 0, 4, 17
"/Users/morikazu/Downloads/StudyHub_student/lib/application/shared/exception/use_case_exception_detail.dart", "Dart", 4, 0, 2, 6
"/Users/morikazu/Downloads/StudyHub_student/lib/application/shared/flavor/flavor.dart", "Dart", 5, 0, 1, 6
"/Users/morikazu/Downloads/StudyHub_student/lib/application/shared/flavor/flavor_config.dart", "Dart", 14, 0, 3, 17
"/Users/morikazu/Downloads/StudyHub_student/lib/application/shared/session/i_session_provider.dart", "Dart", 4, 0, 2, 6
"/Users/morikazu/Downloads/StudyHub_student/lib/application/shared/session/session.dart", "Dart", 8, 0, 4, 12
"/Users/morikazu/Downloads/StudyHub_student/lib/application/student/application_service/get_my_profile_dto.dart", "Dart", 20, 0, 4, 24
"/Users/morikazu/Downloads/StudyHub_student/lib/application/student/application_service/get_my_profile_use_case.dart", "Dart", 23, 0, 4, 27
"/Users/morikazu/Downloads/StudyHub_student/lib/application/student/application_service/get_student_dto.dart", "Dart", 52, 0, 5, 57
"/Users/morikazu/Downloads/StudyHub_student/lib/application/student/application_service/get_student_use_case.dart", "Dart", 22, 0, 4, 26
"/Users/morikazu/Downloads/StudyHub_student/lib/application/student/application_service/i_get_my_profile_query_service.dart", "Dart", 5, 0, 2, 7
"/Users/morikazu/Downloads/StudyHub_student/lib/application/student/application_service/profile_update_command.dart", "Dart", 30, 0, 4, 34
"/Users/morikazu/Downloads/StudyHub_student/lib/application/student/application_service/profile_update_use_case.dart", "Dart", 88, 0, 16, 104
"/Users/morikazu/Downloads/StudyHub_student/lib/application/student/application_service/student_create_use_case.dart", "Dart", 61, 7, 13, 81
"/Users/morikazu/Downloads/StudyHub_student/lib/application/student/application_service/student_delete_use_case.dart", "Dart", 32, 1, 3, 36
"/Users/morikazu/Downloads/StudyHub_student/lib/application/student/application_service/utils/photo_processing.dart", "Dart", 53, 0, 11, 64
